submodel,bandai,operator_en,operator_jp,special_formation,special_livery,category_path_json,category_path
5050,,Tokyu Corporation,東急電鉄,,,"[""JR East E231"", ""Tōkyū 5000 series (II)"", ""Tokyu 5050 series""]","['JR East E231', 'Tōkyū 5000 series (II)', 'Tokyu 5050 series']"
5050-4000,4000,Tokyu Corporation,東急電鉄,Shibuya Hikarie,,"[""JR East E231"", ""Tōkyū 5000 series (II)"", ""Tokyu 5050-4000 series"", ""Shibuya Hikarie (train)""]","['JR East E231', 'Tōkyū 5000 series (II)', 'Tokyu 5050-4000 series', 'Shibuya Hikarie (train)']"
5050-4000,4000,Tokyu Corporation,東急電鉄,,,"[""JR East E231"", ""Tōkyū 5000 series (II)"", ""Tokyu 5050-4000 series""]","['JR East E231', 'Tōkyū 5000 series (II)', 'Tokyu 5050-4000 series']"
5080,,Tokyu Corporation,東急電鉄,,,"[""JR East E231"", ""Tōkyū 5000 series (II)"", ""Tokyu 5080 series""]","['JR East E231', 'Tōkyū 5000 series (II)', 'Tokyu 5080 series']"
5050,,Tokyu Corporation,東急電鉄,,,"[""JR East E231"", ""Tōkyū 5000 series (II)""]","['JR East E231', 'Tōkyū 5000 series (II)']"
E231,,JR East,JR東日本,,,"[""JR East E231""]",['JR East E231']
E233,,JR East,JR東日本,,,"[""JR East E233"", ""JR East E233 at Tokyo Station""]","['JR East E233', 'JR East E233 at Tokyo Station']"
E233-0,0,JR East,JR東日本,,,"[""JR East E233"", ""JR East E233-0"", ""Green Cars of JR East E233-0""]","['JR East E233', 'JR East E233-0', 'Green Cars of JR East E233-0']"
E233-0,0,JR East,JR東日本,,,"[""JR East E233"", ""JR East E233-0"", ""JR East E233-0 (Information display)""]","['JR East E233', 'JR East E233-0', 'JR East E233-0 (Information display)']"
E233-0,0,JR East,JR東日本,,,"[""JR East E233"", ""JR East E233-0""]","['JR East E233', 'JR East E233-0']"
E233-1000,1000,JR East,JR東日本,,,"[""JR East E233"", ""JR East E233-1000""]","['JR East E233', 'JR East E233-1000']"
E233-2000,2000,JR East,JR東日本,,,"[""JR East E233"", ""JR East E233-2000""]","['JR East E233', 'JR East E233-2000']"
E233-3000,3000,JR East,JR東日本,,,"[""JR East E233"", ""JR East E233-3000"", ""Green Cars of JR East E233-3000""]","['JR East E233', 'JR East E233-3000', 'Green Cars of JR East E233-3000']"
E233-3000,3000,JR East,JR東日本,,,"[""JR East E233"", ""JR East E233-3000""]","['JR East E233', 'JR East E233-3000']"
E233-5000,5000,JR East,JR東日本,,,"[""JR East E233"", ""JR East E233-5000""]","['JR East E233', 'JR East E233-5000']"
E233-6000,6000,JR East,JR東日本,,,"[""JR East E233"", ""JR East E233-6000""]","['JR East E233', 'JR East E233-6000']"
E233-7000,7000,JR East,JR東日本,,,"[""JR East E233"", ""JR East E233-7000""]","['JR East E233', 'JR East E233-7000']"
E233-8000,8000,JR East,JR東日本,,,"[""JR East E233"", ""JR East E233-8000""]","['JR East E233', 'JR East E233-8000']"
E233-8500,8500,JR East,JR東日本,,,"[""JR East E233"", ""JR East E233-8500""]","['JR East E233', 'JR East E233-8500']"
,,JR East,JR東日本,,,"[""JR East E233""]",['JR East E233']
E235-0,0,JR East,JR東日本,,黒い山手線,"[""JR East E235"", ""JR East E235-0"", ""Black Yamanote Line for Japan railways 150th Anniversary""]","['JR East E235', 'JR East E235-0', 'Black Yamanote Line for Japan railways 150th Anniversary']"
E235-0,0,JR East,JR東日本,,,"[""JR East E235"", ""JR East E235-0"", ""JR East E235-0 at Tokyo Station""]","['JR East E235', 'JR East E235-0', 'JR East E235-0 at Tokyo Station']"
E235-0,0,JR East,JR東日本,,,"[""JR East E235"", ""JR East E235-0"", ""Strip photography of Yamanote line E235""]","['JR East E235', 'JR East E235-0', 'Strip photography of Yamanote line E235']"
E235-0,0,JR East,JR東日本,,,"[""JR East E235"", ""JR East E235-0""]","['JR East E235', 'JR East E235-0']"
E235-1000,1000,JR East,JR東日本,,,"[""JR East E235"", ""JR East E235-1000""]","['JR East E235', 'JR East E235-1000']"
,,JR East,JR東日本,,,"[""JR East E257"", ""JR East E257 at Tokyo Station""]","['JR East E257', 'JR East E257 at Tokyo Station']"
E257-0,0,JR East,JR東日本,,,"[""JR East E257"", ""JR East E257-0""]","['JR East E257', 'JR East E257-0']"
E257-2000,2000,JR East,JR東日本,,,"[""JR East E257"", ""JR East E257-2000""]","['JR East E257', 'JR East E257-2000']"
E257-2500,2500,JR East,JR東日本,,,"[""JR East E257"", ""JR East E257-2500""]","['JR East E257', 'JR East E257-2500']"
E257-500,500,JR East,JR東日本,,,"[""JR East E257"", ""JR East E257-500""]","['JR East E257', 'JR East E257-500']"
E257-5000,5000,JR East,JR東日本,,,"[""JR East E257"", ""JR East E257-5000""]","['JR East E257', 'JR East E257-5000']"
E257-5500,5500,JR East,JR東日本,,,"[""JR East E257"", ""JR East E257-5500""]","['JR East E257', 'JR East E257-5500']"
E257,,JR East,JR東日本,Odoriko,,"[""JR East E257"", ""Odoriko (JR East E257)""]","['JR East E257', 'Odoriko (JR East E257)']"
E257,,JR East,JR東日本,,,"[""JR East E257""]",['JR East E257']
E353,,JR East,JR東日本,,,"[""JR East E353""]",['JR East E353']
,,JR East,JR東日本,,,"[""JR East E657""]",['JR East E657']
Kiha 100,,JR East,JR東日本,High Rail 1375,,"[""JR East KiHa 100 series"", ""High Rail 1375""]","['JR East KiHa 100 series', 'High Rail 1375']"
Kiha 100,0,JR East,JR東日本,Pokémon with You Train,,"[""JR East KiHa 100 series"", ""Kiha 100-0"", ""Pokémon with You Train""]","['JR East KiHa 100 series', 'Kiha 100-0', 'Pokémon with You Train']"
Kiha 100,0,JR East,JR東日本,,,"[""JR East KiHa 100 series"", ""Kiha 100-0""]","['JR East KiHa 100 series', 'Kiha 100-0']"
Kiha 100,200,JR East,JR東日本,,,"[""JR East KiHa 100 series"", ""Kiha 100-200""]","['JR East KiHa 100 series', 'Kiha 100-200']"
Kiha 101,,JR East,JR東日本,,,"[""JR East KiHa 100 series"", ""Kiha 101""]","['JR East KiHa 100 series', 'Kiha 101']"
Kiha 110,0,JR East,JR東日本,,,"[""JR East KiHa 100 series"", ""Kiha 110-0""]","['JR East KiHa 100 series', 'Kiha 110-0']"
Kiha 110,100,JR East,JR東日本,,,"[""JR East KiHa 100 series"", ""Kiha 110-100""]","['JR East KiHa 100 series', 'Kiha 110-100']"
Kiha 110,200,JR East,JR東日本,Oykot,,"[""JR East KiHa 100 series"", ""Kiha 110-200"", ""Oykot""]","['JR East KiHa 100 series', 'Kiha 110-200', 'Oykot']"
Kiha 110,200,JR East,JR東日本,,,"[""JR East KiHa 100 series"", ""Kiha 110-200""]","['JR East KiHa 100 series', 'Kiha 110-200']"
KiHa 110,300,JR East,JR東日本,,,"[""JR East KiHa 100 series"", ""Kiha 110-300""]","['JR East KiHa 100 series', 'Kiha 110-300']"
KiHa 111,0,JR East,JR東日本,,,"[""JR East KiHa 100 series"", ""Kiha 111-0""]","['JR East KiHa 100 series', 'Kiha 111-0']"
KiHa 111,100,JR East,JR東日本,,,"[""JR East KiHa 100 series"", ""Kiha 111-100""]","['JR East KiHa 100 series', 'Kiha 111-100']"
KiHa 111,200,JR East,JR東日本,,,"[""JR East KiHa 100 series"", ""Kiha 111-200""]","['JR East KiHa 100 series', 'Kiha 111-200']"
KiHa 112,0,JR East,JR東日本,,,"[""JR East KiHa 100 series"", ""Kiha 112-0""]","['JR East KiHa 100 series', 'Kiha 112-0']"
Kiha 112,100,JR East,JR東日本,,,"[""JR East KiHa 100 series"", ""Kiha 112-100""]","['JR East KiHa 100 series', 'Kiha 112-100']"
Kiha 112,150,JR East,JR東日本,,,"[""JR East KiHa 100 series"", ""Kiha 112-150""]","['JR East KiHa 100 series', 'Kiha 112-150']"
Kiha 112,200,JR East,JR東日本,,,"[""JR East KiHa 100 series"", ""Kiha 112-200""]","['JR East KiHa 100 series', 'Kiha 112-200']"
,,JR East,JR東日本,,,"[""JR East KiHa 100 series""]",['JR East KiHa 100 series']
EF510,0,JR Freight,JR貨物,,,"[""JR Freight EF510"", ""JR Freight EF510-0""]","['JR Freight EF510', 'JR Freight EF510-0']"
EF510,300,JR Freight,JR貨物,,,"[""JR Freight EF510"", ""JR Freight EF510-300""]","['JR Freight EF510', 'JR Freight EF510-300']"
EF510,500,JR Freight,JR貨物,,,"[""JR Freight EF510"", ""JR Freight EF510-500""]","['JR Freight EF510', 'JR Freight EF510-500']"
EF510,,JR Freight,JR貨物,,,"[""JR Freight EF510""]",['JR Freight EF510']
Kiha 141,,JR Hokkaido,JR北海道,SL Ginga,,"[""JR Hokkaido Kiha 141"", ""SL Ginga""]","['JR Hokkaido Kiha 141', 'SL Ginga']"
Kiha 141,,JR Hokkaido,JR北海道,,,"[""JR Hokkaido Kiha 141""]",['JR Hokkaido Kiha 141']
E5,0,JR East,JR東日本,,,"[""Shinkansen E5"", ""Shinkansen E5 on Hokkaidō Shinkansen"", ""Shinkansen E5 at Shin-Hakodate-Hokuto Station""]","['Shinkansen E5', 'Shinkansen E5 on Hokkaidō Shinkansen', 'Shinkansen E5 at Shin-Hakodate-Hokuto Station']"
E5,0,JR East,JR東日本,,,"[""Shinkansen E5"", ""Shinkansen E5 on Tōhoku Shinkansen"", ""Shinkansen E5 at Hachinohe Station""]","['Shinkansen E5', 'Shinkansen E5 on Tōhoku Shinkansen', 'Shinkansen E5 at Hachinohe Station']"
E5,0,JR East,JR東日本,,,"[""Shinkansen E5"", ""Shinkansen E5 on Tōhoku Shinkansen"", ""Shinkansen E5 at Kōriyama Station (Fukushima)""]","['Shinkansen E5', 'Shinkansen E5 on Tōhoku Shinkansen', 'Shinkansen E5 at Kōriyama Station (Fukushima)']"
E5,0,JR East,JR東日本,,,"[""Shinkansen E5"", ""Shinkansen E5 on Tōhoku Shinkansen"", ""Shinkansen E5 at Morioka Station""]","['Shinkansen E5', 'Shinkansen E5 on Tōhoku Shinkansen', 'Shinkansen E5 at Morioka Station']"
E5,0,JR East,JR東日本,,,"[""Shinkansen E5"", ""Shinkansen E5 on Tōhoku Shinkansen"", ""Shinkansen E5 at Sendai Station (Miyagi)""]","['Shinkansen E5', 'Shinkansen E5 on Tōhoku Shinkansen', 'Shinkansen E5 at Sendai Station (Miyagi)']"
,,JR East,JR東日本,,,"[""Shinkansen E5"", ""Shinkansen E5 on Tōhoku Shinkansen"", ""Shinkansen E5 at Shin-Aomori Station""]","['Shinkansen E5', 'Shinkansen E5 on Tōhoku Shinkansen', 'Shinkansen E5 at Shin-Aomori Station']"
,,JR East,JR東日本,,,"[""Shinkansen E5"", ""Shinkansen E5 on Tōhoku Shinkansen"", ""Shinkansen E5 at Tokyo Station""]","['Shinkansen E5', 'Shinkansen E5 on Tōhoku Shinkansen', 'Shinkansen E5 at Tokyo Station']"
,,JR East,JR東日本,,,"[""Shinkansen E5"", ""Shinkansen E5 on Tōhoku Shinkansen"", ""Shinkansen E5 at Ōmiya Station (Saitama)""]","['Shinkansen E5', 'Shinkansen E5 on Tōhoku Shinkansen', 'Shinkansen E5 at Ōmiya Station (Saitama)']"
,,JR East,JR東日本,,,"[""Shinkansen E5"", ""Shinkansen E5 on Tōhoku Shinkansen""]","['Shinkansen E5', 'Shinkansen E5 on Tōhoku Shinkansen']"
,,JR East,JR東日本,,,"[""Shinkansen E5"", ""Shinkansen E5 series E514 mockup""]","['Shinkansen E5', 'Shinkansen E5 series E514 mockup']"
E5,,JR East,JR東日本,,,"[""Shinkansen E5""]",['Shinkansen E5']
E6,,JR East,JR東日本,,,"[""Shinkansen E6"", ""Shinkansen E6 on Akita Shinkansen"", ""Shinkansen E6 at Akita Station""]","['Shinkansen E6', 'Shinkansen E6 on Akita Shinkansen', 'Shinkansen E6 at Akita Station']"
E6,,JR East,JR東日本,,,"[""Shinkansen E6"", ""Shinkansen E6 on Akita Shinkansen"", ""Shinkansen E6 at Ōkama Station""]","['Shinkansen E6', 'Shinkansen E6 on Akita Shinkansen', 'Shinkansen E6 at Ōkama Station']"
E6,,JR East,JR東日本,,,"[""Shinkansen E6"", ""Shinkansen E6 on Akita Shinkansen"", ""Shinkansen E6 at Ōmagari Station (Akita)""]","['Shinkansen E6', 'Shinkansen E6 on Akita Shinkansen', 'Shinkansen E6 at Ōmagari Station (Akita)']"
E6,,JR East,JR東日本,,,"[""Shinkansen E6"", ""Shinkansen E6 on Akita Shinkansen""]","['Shinkansen E6', 'Shinkansen E6 on Akita Shinkansen']"
E6,,JR East,JR東日本,,,"[""Shinkansen E6"", ""Shinkansen E6 on Tōhoku Shinkansen"", ""Shinkansen E6 at Morioka Station""]","['Shinkansen E6', 'Shinkansen E6 on Tōhoku Shinkansen', 'Shinkansen E6 at Morioka Station']"
E6,,JR East,JR東日本,,,"[""Shinkansen E6"", ""Shinkansen E6 on Tōhoku Shinkansen"", ""Shinkansen E6 at Sendai Station (Miyagi)""]","['Shinkansen E6', 'Shinkansen E6 on Tōhoku Shinkansen', 'Shinkansen E6 at Sendai Station (Miyagi)']"
E6,,JR East,JR東日本,,,"[""Shinkansen E6"", ""Shinkansen E6 on Tōhoku Shinkansen"", ""Shinkansen E6 at Tokyo Station""]","['Shinkansen E6', 'Shinkansen E6 on Tōhoku Shinkansen', 'Shinkansen E6 at Tokyo Station']"
E6,,JR East,JR東日本,,,"[""Shinkansen E6"", ""Shinkansen E6 on Tōhoku Shinkansen"", ""Shinkansen E6 at Ōmiya Station (Saitama)""]","['Shinkansen E6', 'Shinkansen E6 on Tōhoku Shinkansen', 'Shinkansen E6 at Ōmiya Station (Saitama)']"
E6,,JR East,JR東日本,,,"[""Shinkansen E6"", ""Shinkansen E6 on Tōhoku Shinkansen""]","['Shinkansen E6', 'Shinkansen E6 on Tōhoku Shinkansen']"
E6,,JR East,JR東日本,,,"[""Shinkansen E6""]",['Shinkansen E6']
E7,,JR East,JR東日本,,pink line,"[""Shinkansen E7"", ""Shinkansen E7 (pink line livery)""]","['Shinkansen E7', 'Shinkansen E7 (pink line livery)']"
E7,,JR East,JR東日本,,,"[""Shinkansen E7"", ""Shinkansen E7 on Hokuriku Shinkansen"", ""Shinkansen E7 at Kanazawa Station""]","['Shinkansen E7', 'Shinkansen E7 on Hokuriku Shinkansen', 'Shinkansen E7 at Kanazawa Station']"
E7,,JR East,JR東日本,,,"[""Shinkansen E7"", ""Shinkansen E7 on Hokuriku Shinkansen"", ""Shinkansen E7 at Nagano Station""]","['Shinkansen E7', 'Shinkansen E7 on Hokuriku Shinkansen', 'Shinkansen E7 at Nagano Station']"
E7,,JR East,JR東日本,,,"[""Shinkansen E7"", ""Shinkansen E7 on Hokuriku Shinkansen""]","['Shinkansen E7', 'Shinkansen E7 on Hokuriku Shinkansen']"
E7,,JR East,JR東日本,,,"[""Shinkansen E7"", ""Shinkansen E7 on Jōetsu Shinkansen""]","['Shinkansen E7', 'Shinkansen E7 on Jōetsu Shinkansen']"
E7,,JR East,JR東日本,,,"[""Shinkansen E7"", ""Shinkansen E7 on Tōhoku Shinkansen"", ""Shinkansen E7 at Tokyo Station""]","['Shinkansen E7', 'Shinkansen E7 on Tōhoku Shinkansen', 'Shinkansen E7 at Tokyo Station']"
E7,,JR East,JR東日本,,,"[""Shinkansen E7"", ""Shinkansen E7 on Tōhoku Shinkansen"", ""Shinkansen E7 at Ueno Station""]","['Shinkansen E7', 'Shinkansen E7 on Tōhoku Shinkansen', 'Shinkansen E7 at Ueno Station']"
E7,,JR East,JR東日本,,,"[""Shinkansen E7"", ""Shinkansen E7 on Tōhoku Shinkansen"", ""Shinkansen E7 at Ōmiya Station (Saitama)""]","['Shinkansen E7', 'Shinkansen E7 on Tōhoku Shinkansen', 'Shinkansen E7 at Ōmiya Station (Saitama)']"
E7,,JR East,JR東日本,,,"[""Shinkansen E7"", ""Shinkansen E7 on Tōhoku Shinkansen""]","['Shinkansen E7', 'Shinkansen E7 on Tōhoku Shinkansen']"
,,,,,,"[""Shinkansen E7""]",['Shinkansen E7']
